itemsets,support
frozenset({'apples'}),0.17
frozenset({'bananas'}),0.17
frozenset({'beans'}),0.17
frozenset({'beef'}),0.08
frozenset({'bread'}),0.17
frozenset({'butter'}),0.18
frozenset({'carrots'}),0.07
frozenset({'cereal'}),0.08
frozenset({'cheese'}),0.18
frozenset({'chicken'}),0.17
frozenset({'chips'}),0.2
frozenset({'chocolate'}),0.07
frozenset({'coffee'}),0.07
frozenset({'cookies'}),0.19
frozenset({'eggs'}),0.18
frozenset({'grapes'}),0.08
frozenset({'ice cream'}),0.07
frozenset({'juice'}),0.07
frozenset({'lettuce'}),0.08
frozenset({'milk'}),0.18
frozenset({'onions'}),0.07
frozenset({'oranges'}),0.08
frozenset({'pasta'}),0.07
frozenset({'potatoes'}),0.08
frozenset({'rice'}),0.18
frozenset({'soda'}),0.2
frozenset({'tea'}),0.07
frozenset({'toilet paper'}),0.07
frozenset({'tomatoes'}),0.08
frozenset({'water'}),0.07
frozenset({'yogurt'}),0.17
"frozenset({'apples', 'bananas'})",0.11
"frozenset({'yogurt', 'apples'})",0.11
"frozenset({'yogurt', 'bananas'})",0.11
"frozenset({'beans', 'chicken'})",0.11
"frozenset({'beans', 'rice'})",0.11
"frozenset({'milk', 'bread'})",0.12
"frozenset({'eggs', 'butter'})",0.12
"frozenset({'soda', 'chips'})",0.14
"frozenset({'yogurt', 'apples', 'bananas'})",0.1
"frozenset({'beans', 'chicken', 'rice'})",0.1
"frozenset({'eggs', 'cheese', 'butter'})",0.11
"frozenset({'soda', 'cookies', 'chips'})",0.13
