itemsets,support
frozenset({'beef'}),0.08
frozenset({'carrots'}),0.07
frozenset({'cereal'}),0.08
frozenset({'chocolate'}),0.07
frozenset({'coffee'}),0.07
frozenset({'grapes'}),0.08
frozenset({'ice cream'}),0.07
frozenset({'juice'}),0.07
frozenset({'lettuce'}),0.08
frozenset({'onions'}),0.07
frozenset({'oranges'}),0.08
frozenset({'pasta'}),0.07
frozenset({'potatoes'}),0.08
frozenset({'tea'}),0.07
frozenset({'toilet paper'}),0.07
frozenset({'tomatoes'}),0.08
frozenset({'water'}),0.07
"frozenset({'milk', 'bread'})",0.12
"frozenset({'yogurt', 'apples', 'bananas'})",0.1
"frozenset({'beans', 'chicken', 'rice'})",0.1
"frozenset({'eggs', 'cheese', 'butter'})",0.11
"frozenset({'soda', 'cookies', 'chips'})",0.13
